Status,Session Title,Session Code,Date,Start Time,End Time,Room

Scheduled, PhysicsNeMo ,S81969,2026-03-15,19:00,19:50,China Simulive Room 3
Scheduled,,S81939,2026-03-15,20:00,20:50,China Simulive Room 3
Scheduled, NVIDIA  AI  AI ,S81974,2026-03-15,23:00,23:50,China Simulive Room 1
Scheduled, AI ,S81577,2026-03-16,00:00,00:50,China Simulive Room 3
Scheduled,,S81858,2026-03-16,01:00,01:50,China Simulive Room 3
Scheduled,GTC 2026 Keynote,S81595,2026-03-16,11:00,13:00,SAP Center
Scheduled,,S81619,2026-03-16,19:00,19:50,China Simulive Room 3
Scheduled, Isaac Gym  Isaac Lab,S81860,2026-03-16,20:00,20:50,China Simulive Room 3
Scheduled, ChatGPT ,S82278,2026-03-16,23:00,23:50,China Simulive Room 3
Scheduled, Physical AI ,S82188,2026-03-17,00:00,00:50,China Simulive Room 3
Scheduled,AI ,S81944,2026-03-17,01:00,01:50,China Simulive Room 3
Scheduled,Build Physical Intelligence: Open Collaboration Across Robotics Ecosystems,S81509,2026-03-17,03:00,03:50,EMEA Simulive Room 1
Scheduled,Agentic Systems for End-to-End Surgical Workflows,S81941,2026-03-17,04:00,04:50,EMEA Simulive Room 1
Scheduled,Beyond the Black Box: Interpretability of LLMs in Finance,S82175,2026-03-17,06:00,06:50,EMEA Simulive Room 2
Scheduled, 3D  Beyond Visuals: A Physics-Informed Generative Method for Articulated 3D Assets,S81935,2026-03-17,19:00,19:50,China Simulive Room 3
Scheduled, NVIDIA Jetson Thor ,S81962,2026-03-17,20:00,20:50,China Simulive Room 3
Scheduled, NVIDIA Isaac Sim  Genie Sim 3.0 ,S81971,2026-03-17,23:00,23:50,China Simulive Room 3
Scheduled, GPU  Diffusion-Driven Embodied AI: From Unified Theory to GPU-Accelerated Robot Policies,S81979,2026-03-18,00:00,00:50,China Simulive Room 3
Scheduled,"PAINVIDIAPhysicalAI PAI Integrates NVIDIA Physical AI: Power E2E SDG, Model Training & Evaluation",S82282,2026-03-18,01:00,01:50,China Simulive Room 3
Scheduled,Neural Physics for AI-Powered Differentiable PDE-Solvers and Digital Twins,S81927,2026-03-18,03:00,03:50,EMEA Simulive Room 4
Scheduled,Watch Party: How Open World Models are Powering the Next Breakthroughs in Physical AI,WP81667a,2026-03-20,00:00,01:30,Virtual WP 4
Scheduled,Watch Party: Visual AI Agents for Real-Time Video Understanding,WP81836a,2026-03-22,01:00,02:30,Virtual WP 4
Scheduled,Watch Party: From Concept to Production: Humanoid Robotics at Scale,WP81645,2026-03-23,00:00,01:30,Virtual WP
Scheduled,Watch Party: How Open World Models are Powering the Next Breakthroughs in Physical AI,WP81667d,2026-03-23,02:30,04:00,Virtual WP 2
Scheduled,"Watch Party: Nemotron Unpacked: Build, Fine-Tune, and Deploy NVIDIA's Open Models",WP81719b,2026-03-23,05:00,06:30,Virtual WP 4
Scheduled,Watch Party:  AI ,WP81806,2026-03-23,22:00,23:00,Virtual WP 3
Scheduled,Watch Party: Bringing Physical AI to Smart Spaces,WP81862,2026-03-23,23:00,00:30,Virtual WP 5
Scheduled,Watch Party:  AI ,WP81598,2026-03-24,01:00,02:00,Virtual WP 3
Scheduled,Watch Party:  AI ,WP81836,2026-03-24,19:30,20:30,Virtual WP
